Temp;Press;Alt;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;Yaw;Pitch;Roll;GpsLat;GpsLong;GpsAlt;GpsSpeed;SIV
47,842;775,521;1,294,159;1,100;0,380;0,528;89,125;231,250;119,188;-11,688;-39,500;7,687;151,312;11,813;-66,750;38396286;33702848;947;76,310;6
47,825;775,490;1,292,268;1,388;0,444;0,539;118,875;133,062;105,187;-21,875;-35,063;10,062;129,375;16,000;-71,313;38396286;33702848;947;76,310;6
47,825;775,846;1,290,187;1,331;0,421;0,574;103,500;259,750;60,875;-30,250;-29,062;10,750;100,250;20,562;-77,625;38396318;33702881;947;77,202;5
47,842;776,824;1,287,009;1,186;0,461;0,574;61,375;381,500;20,438;-36,063;-26,187;0,062;72,750;16,625;-74,125;38396336;33702897;947;78,369;5
47,842;777,297;1,283,438;0,868;0,492;0,402;87,063;237,437;17,187;-30,562;-26,562;-17,687;50,063;10,000;-73,875;38396336;33702897;947;78,369;5
47,842;778,008;1,279,108;0,497;0,663;0,218;95,188;158,875;20,125;-26,500;-26,500;-22,562;35,250;7,875;-79,625;38396336;33702897;947;78,369;5
47,842;778,600;1,274,192;0,495;0,864;0,035;76,250;179,000;20,375;-21,000;-30,500;-24,500;19,500;7,812;-85,000;38396336;33702897;947;78,369;5
47,842;779,074;1,268,947;0,468;0,858;-0,025;57,125;191,375;14,125;-13,250;-33,875;-25,750;1,812;8,438;-88,313;38396336;33702897;947;78,369;5
47,842;779,547;1,263,482;0,353;0,798;-0,046;47,625;188,937;5,375;-5,250;-35,000;-26,250;345,937;8,813;-89,938;38396336;33702897;947;78,369;5
47,860;779,933;1,258,077;0,200;0,593;-0,093;36,563;185,125;4,562;3,188;-36,000;-23,500;326,750;9,500;-91,125;38396336;33702897;947;78,369;5
47,842;780,140;1,253,196;0,175;1,105;-0,245;19,750;192,438;-0,500;6,500;-38,188;-21,375;309,500;10,000;-90,563;38396336;33702897;947;78,369;5
47,842;780,495;1,248,568;0,113;0,852;-0,065;8,813;194,875;-1,312;10,750;-38,688;-19,187;294,500;9,875;-88,875;38396336;33702897;947;78,369;5
47,860;780,881;1,244,113;0,257;0,973;0,235;21,875;191,500;-2,625;17,000;-37,500;-11,063;278,250;9,250;-87,063;38396336;33702897;947;78,369;5
47,860;781,118;1,240,104;0,382;1,142;0,182;52,688;196,437;-8,438;19,875;-36,875;-4,562;262,625;8,000;-87,562;38396336;33702897;947;78,369;5
47,860;781,355;1,236,485;0,623;1,214;-0,174;63,250;212,750;-35,688;21,000;-35,563;5,250;246,562;6,000;-90,438;38396336;33702897;947;78,369;5
47,860;781,591;1,233,190;0,192;1,127;-0,476;82,625;211,063;-56,562;19,875;-36,063;11,875;231,625;2,500;-95,312;38396336;33702897;947;78,369;5
47,842;781,797;1,230,210;0,446;1,167;-1,519;24,875;184,750;-48,313;16,750;-31,000;23,875;213,812;1,187;-100,250;38396336;33702897;947;78,369;5
